"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070035","GO:0070035","purine NTP-dependent helicase activity","5/333","52/16969",0.00344933085665364,0.0880764487595676,0.080539790757914,"RECQL4/MCM4/DDX56/MCM6/BLM",5
"GO:0000400","GO:0000400","four-way junction DNA binding","3/333","16/16969",0.00346909426186481,0.0880764487595676,0.080539790757914,"HMGB3/BLM/XRCC3",3
"GO:0008409","GO:0008409","5'-3' exonuclease activity","3/333","16/16969",0.00346909426186481,0.0880764487595676,0.080539790757914,"EXO1/CPSF3/FEN1",3
"GO:0046527","GO:0046527","glucosyltransferase activity","3/333","18/16969",0.00491044487373948,0.118109121436786,0.108002582541528,"ALG8/GYG2/UGGT1",3
"GO:0008301","GO:0008301","DNA binding, bending","3/333","19/16969",0.00574731871093067,0.131326232544766,0.120088712012604,"TOP2A/HMGB3/TFAM",3
"GO:0003684","GO:0003684","damaged DNA binding","5/333","60/16969",0.00638460200254987,0.138941100722157,0.127051979699865,"RECQL4/POLQ/FEN1/BLM/AUNIP",5
"GO:0016893","GO:0016893","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","4/333","39/16969",0.0069743811841213,0.144876918233793,0.132479872253405,"EXO1/FEN1/DNA2/RNASEH2A",4
"GO:0042393","GO:0042393","histone binding","9/333","174/16969",0.00750928324759098,0.145928090092987,0.133441095858381,"HJURP/MCM2/CHAF1B/ASF1B/PYGO2/TONSL/CBX8/SUZ12/NCAPD3",9
"GO:0061631","GO:0061631","ubiquitin conjugating enzyme activity","3/333","21/16969",0.00766361961101027,0.145928090092987,0.133441095858381,"UBE2T/UBE2C/UBE2O",3
"GO:0004536","GO:0004536","deoxyribonuclease activity","4/333","41/16969",0.00832874723690584,0.152249499490639,0.139221585391647,"EXO1/FEN1/XRCC3/DNA2",4
"GO:0018024","GO:0018024","histone-lysine N-methyltransferase activity","4/333","43/16969",0.0098447037217648,0.167810747316493,0.153451264965214,"EZH2/SETDB1/SETD1A/SUZ12",4
"GO:0061650","GO:0061650","ubiquitin-like protein conjugating enzyme activity","3/333","23/16969",0.0099144205197928,0.167810747316493,0.153451264965214,"UBE2T/UBE2C/UBE2O",3
"GO:0048037","GO:0048037","cofactor binding","16/333","438/16969",0.0131199097973012,0.214135670620238,0.195812187576262,"PARP1/GPT2/IDH2/PPAT/DUS1L/CYP24A1/PC/ABCB6/FOXRED2/NDUFS8/DHTKD1/DNA2/MB/SRD5A1/PTGES/GAD1",16
"GO:0005089","GO:0005089","Rho guanyl-nucleotide exchange factor activity","5/333","73/16969",0.014303453480048,0.223524310385385,0.204397446096966,"ECT2/ARHGEF16/ARHGEF39/ARHGEF19/NGEF",5
"GO:0045296","GO:0045296","cadherin binding","12/333","297/16969",0.0146733682966336,0.223524310385385,0.204397446096966,"ATIC/CCNB2/ANLN/PAICS/CHMP4B/BAIAP2L1/BZW2/PPME1/ARHGEF16/UBFD1/ENO1/SPTBN2",12
"GO:0016888","GO:0016888","endodeoxyribonuclease activity, producing 5'-phosphomonoesters","2/333","10/16969",0.0155698220197998,0.229529311711243,0.209888602440086,"FEN1/DNA2",2
"GO:0008017","GO:0008017","microtubule binding","8/333","166/16969",0.016875307074078,0.232661744970787,0.212752994940464,"BIRC5/PRC1/KIF2C/KIF14/STRBP/PLK1/CENPE/RACGAP1",8
"GO:0008536","GO:0008536","Ran GTPase binding","3/333","28/16969",0.0170675966095714,0.232661744970787,0.212752994940464,"BIRC5/IPO4/XPO5",3
"GO:0004519","GO:0004519","endonuclease activity","6/333","105/16969",0.0173680051037981,0.232661744970787,0.212752994940464,"EXO1/CPSF3/FEN1/XRCC3/DNA2/RNASEH2A",6
"GO:0035251","GO:0035251","UDP-glucosyltransferase activity","2/333","11/16969",0.0187854939772827,0.232661744970787,0.212752994940464,"GYG2/UGGT1",2
"GO:0004521","GO:0004521","endoribonuclease activity","4/333","52/16969",0.0188369465293635,0.232661744970787,0.212752994940464,"EXO1/CPSF3/FEN1/RNASEH2A",4
"GO:0042054","GO:0042054","histone methyltransferase activity","4/333","52/16969",0.0188369465293635,0.232661744970787,0.212752994940464,"EZH2/SETDB1/SETD1A/SUZ12",4
"GO:0003756","GO:0003756","protein disulfide isomerase activity","2/333","12/16969",0.0222536904273815,0.250055874549703,0.228658717485275,"PDIA4/P4HB",2
"GO:0015037","GO:0015037","peptide disulfide oxidoreductase activity","2/333","12/16969",0.0222536904273815,0.250055874549703,0.228658717485275,"PDIA4/P4HB",2
"GO:0016864","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","2/333","12/16969",0.0222536904273815,0.250055874549703,0.228658717485275,"PDIA4/P4HB",2
"GO:0016891","GO:0016891","endoribonuclease activity, producing 5'-phosphomonoesters","3/333","31/16969",0.0224338968414394,0.250055874549703,0.228658717485275,"EXO1/FEN1/RNASEH2A",3
"GO:0016279","GO:0016279","protein-lysine N-methyltransferase activity","4/333","57/16969",0.0254846904435294,0.273823149715256,0.250392238712326,"EZH2/SETDB1/SETD1A/SUZ12",4
"GO:0016646","GO:0016646","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","2/333","13/16969",0.0259633239396993,0.273823149715256,0.250392238712326,"PYCR1/PYCR3",2
"GO:0016831","GO:0016831","carboxy-lyase activity","3/333","33/16969",0.0264634778157381,0.273823149715256,0.250392238712326,"PAICS/SGPL1/GAD1",3
"GO:0016278","GO:0016278","lysine N-methyltransferase activity","4/333","58/16969",0.0269628922039092,0.273823149715256,0.250392238712326,"EZH2/SETDB1/SETD1A/SUZ12",4
"GO:0050839","GO:0050839","cell adhesion molecule binding","15/333","444/16969",0.0296231446294716,0.278897239244997,0.255032140919645,"ATIC/CCNB2/ANLN/PAICS/CHMP4B/SPP1/BAIAP2L1/BZW2/PPME1/ARHGEF16/P4HB/FRMD5/UBFD1/ENO1/SPTBN2",15
"GO:0004529","GO:0004529","exodeoxyribonuclease activity","2/333","14/16969",0.0299036427199231,0.278897239244997,0.255032140919645,"EXO1/FEN1",2
"GO:0016895","GO:0016895","exodeoxyribonuclease activity, producing 5'-phosphomonoesters","2/333","14/16969",0.0299036427199231,0.278897239244997,0.255032140919645,"EXO1/FEN1",2
"GO:0035173","GO:0035173","histone kinase activity","2/333","14/16969",0.0299036427199231,0.278897239244997,0.255032140919645,"AURKB/CHEK1",2
"GO:0051539","GO:0051539","4 iron, 4 sulfur cluster binding","3/333","35/16969",0.0308536454289489,0.281931558473139,0.257806814957586,"PPAT/NDUFS8/DNA2",3
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","13/333","371/16969",0.0320671725568982,0.281931558473139,0.257806814957586,"AURKA/SRPK1/TTK/AURKB/NEK2/MELK/PKMYT1/BUB1/PBK/CHEK1/IRAK1/PLK1/PLK4",13
"GO:0003697","GO:0003697","single-stranded DNA binding","5/333","90/16969",0.0320797396949742,0.281931558473139,0.257806814957586,"MCM4/MCM6/NABP2/POLR2H/BLM",5
"GO:0016853","GO:0016853","isomerase activity","6/333","122/16969",0.0332342437416301,0.286566969621226,0.262045576274621,"TOP2A/PDIA4/DKC1/PGM2L1/P4HB/PTGES",6
"GO:0016860","GO:0016860","intramolecular oxidoreductase activity","3/333","38/16969",0.0381083677329841,0.313656680404627,0.286817233952866,"PDIA4/P4HB/PTGES",3
"GO:0055106","GO:0055106","ubiquitin-protein transferase regulator activity","2/333","16/16969",0.038434954272777,0.313656680404627,0.286817233952866,"CDC20/CBX8",2
"GO:0072509","GO:0072509","divalent inorganic cation transmembrane transporter activity","2/333","16/16969",0.038434954272777,0.313656680404627,0.286817233952866,"SLC39A11/SLC41A2",2
"GO:0008483","GO:0008483","transaminase activity","2/333","17/16969",0.0430060431663958,0.341838387513288,0.312587446372855,"GPT2/PSAT1",2
"GO:0004712","GO:0004712","protein serine/threonine/tyrosine kinase activity","3/333","40/16969",0.0433843030104391,0.341838387513288,0.312587446372855,"AURKA/TTK/AURKB",3
"GO:0016741","GO:0016741","transferase activity, transferring one-carbon groups","8/333","201/16969",0.0451512658939118,0.349730991754537,0.319804684386851,"ATIC/EZH2/METTL7B/SETDB1/NSUN5/SETD1A/SUZ12/BUD23",8
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","2/333","18/16969",0.0477679929529778,0.363832879658514,0.33269988074267,"CCNB1/HEXIM2",2
"GO:0003777","GO:0003777","microtubule motor activity","3/333","43/16969",0.0519415900080048,0.382368285255757,0.349649220883417,"KIFC1/KIF14/CENPE",3
"GO:0003774","GO:0003774","motor activity","5/333","103/16969",0.0522361347303841,0.382368285255757,0.349649220883417,"KIF15/KIFC1/KIF14/MYO7A/CENPE",5
"GO:0016769","GO:0016769","transferase activity, transferring nitrogenous groups","2/333","19/16969",0.0527116016873363,0.382368285255757,0.349649220883417,"GPT2/PSAT1",2
"GO:0030515","GO:0030515","snoRNA binding","2/333","20/16969",0.0578279531706852,0.412927728109424,0.377593707380954,"DKC1/NUDT1",2
"GO:1990841","GO:1990841","promoter-specific chromatin binding","3/333","46/16969",0.0612474502720099,0.427129660567618,0.390580387528145,"EZH2/SETDB1/SUZ12",3
"GO:0016645","GO:0016645","oxidoreductase activity, acting on the CH-NH group of donors","2/333","21/16969",0.0631084093348615,0.427129660567618,0.390580387528145,"PYCR1/PYCR3",2
"GO:0016866","GO:0016866","intramolecular transferase activity","2/333","21/16969",0.0631084093348615,0.427129660567618,0.390580387528145,"DKC1/PGM2L1",2
"GO:0047485","GO:0047485","protein N-terminus binding","5/333","109/16969",0.0635553980713305,0.427129660567618,0.390580387528145,"PARP1/STX1A/ZWINT/MYO7A/GAD1",5
"GO:0016757","GO:0016757","transferase activity, transferring glycosyl groups","9/333","257/16969",0.0675020469437292,0.435067826194298,0.397839288262436,"PARP1/PPAT/FUT2/ALG8/GYG2/B3GNTL1/GCNT3/B4GALT3/UGGT1",9
"GO:0050662","GO:0050662","coenzyme binding","9/333","257/16969",0.0675020469437292,0.435067826194298,0.397839288262436,"PARP1/GPT2/IDH2/DUS1L/PC/FOXRED2/DHTKD1/SRD5A1/GAD1",9
"GO:0005048","GO:0005048","signal sequence binding","2/333","22/16969",0.0685446028139814,0.435067826194298,0.397839288262436,"KDELR3/KDELR2",2
"GO:0005109","GO:0005109","frizzled binding","2/333","22/16969",0.0685446028139814,0.435067826194298,0.397839288262436,"WNT3/CTHRC1",2
"GO:0016830","GO:0016830","carbon-carbon lyase activity","3/333","49/16969",0.0712712305957648,0.446177429894035,0.407998248688084,"PAICS/SGPL1/GAD1",3
"GO:0008276","GO:0008276","protein methyltransferase activity","4/333","80/16969",0.0723585594342737,0.446862995425177,0.408625150717022,"EZH2/SETDB1/SETD1A/SUZ12",4
"GO:0008022","GO:0008022","protein C-terminus binding","7/333","186/16969",0.0743872303063841,0.450458946930255,0.411913398436741,"TOP2A/CENPF/CDC20/MKI67/COIL/STIP1/MAD2L1",7
"GO:0016791","GO:0016791","phosphatase activity","8/333","224/16969",0.0749122099927776,0.450458946930255,0.411913398436741,"DLGAP5/PLPP2/CDC25C/CDKN3/SGPP2/ACP6/PTPRH/SYNJ2",8
"GO:0008168","GO:0008168","methyltransferase activity","7/333","191/16969",0.082934418763956,0.492221160715947,0.450102040318394,"EZH2/METTL7B/SETDB1/NSUN5/SETD1A/SUZ12/BUD23",7
"GO:0008170","GO:0008170","N-methyltransferase activity","4/333","86/16969",0.0889174422415756,0.520965014158975,0.476386296489953,"EZH2/SETDB1/SETD1A/SUZ12",4
"GO:0070566","GO:0070566","adenylyltransferase activity","2/333","26/16969",0.0916884763769999,0.530400426636569,0.485014325405316,"COASY/FLAD1",2
"GO:0005088","GO:0005088","Ras guanyl-nucleotide exchange factor activity","5/333","125/16969",0.0998851094746247,0.564229426466508,0.515948594511583,"ECT2/ARHGEF16/ARHGEF39/ARHGEF19/NGEF",5
"GO:0051536","GO:0051536","iron-sulfur cluster binding","3/333","57/16969",0.101240290963356,0.564229426466508,0.515948594511583,"PPAT/NDUFS8/DNA2",3
"GO:0051540","GO:0051540","metal cluster binding","3/333","57/16969",0.101240290963356,0.564229426466508,0.515948594511583,"PPAT/NDUFS8/DNA2",3
"GO:0019842","GO:0019842","vitamin binding","5/333","128/16969",0.107654242564153,0.592746853636359,0.542025799593769,"GPT2/PC/DHTKD1/GAD1/CRABP2",5
"GO:0004540","GO:0004540","ribonuclease activity","4/333","94/16969",0.113543873320213,0.611197850881214,0.558897954162943,"EXO1/CPSF3/FEN1/RNASEH2A",4
"GO:0016829","GO:0016829","lyase activity","6/333","168/16969",0.113680125437425,0.611197850881214,0.558897954162943,"POLQ/PAICS/SGPL1/GGCT/ENO1/GAD1",6
"GO:0004518","GO:0004518","nuclease activity","6/333","171/16969",0.120852925072986,0.642206822771566,0.58725350372063,"EXO1/CPSF3/FEN1/XRCC3/DNA2/RNASEH2A",6
"GO:0015631","GO:0015631","tubulin binding","8/333","252/16969",0.124044743780329,0.651591355259888,0.595835006422148,"BIRC5/PRC1/KIF2C/KIF14/STRBP/PLK1/CENPE/RACGAP1",8
"GO:0008757","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","5/333","136/16969",0.129751757939899,0.666556780899603,0.609519848018294,"EZH2/SETDB1/SETD1A/SUZ12/BUD23",5
"GO:0034061","GO:0034061","DNA polymerase activity","2/333","32/16969",0.129810839168632,0.666556780899603,0.609519848018294,"POLQ/DKC1",2
"GO:0035064","GO:0035064","methylated histone binding","3/333","66/16969",0.139832884978909,0.702013139073096,0.641942223222433,"CBX8/SUZ12/NCAPD3",3
"GO:0140034","GO:0140034","methylation-dependent protein binding","3/333","66/16969",0.139832884978909,0.702013139073096,0.641942223222433,"CBX8/SUZ12/NCAPD3",3
"GO:0042162","GO:0042162","telomeric DNA binding","2/333","34/16969",0.143219959800629,0.702013139073096,0.641942223222433,"NABP2/BLM",2
"GO:0004527","GO:0004527","exonuclease activity","3/333","67/16969",0.144392877415291,0.702013139073096,0.641942223222433,"EXO1/CPSF3/FEN1",3
"GO:0016779","GO:0016779","nucleotidyltransferase activity","4/333","103/16969",0.144396575651797,0.702013139073096,0.641942223222433,"POLQ/COASY/DKC1/FLAD1",4
"GO:0042578","GO:0042578","phosphoric ester hydrolase activity","9/333","305/16969",0.147288692480936,0.708536131197764,0.647907046148825,"DLGAP5/PLPP2/SMPDL3B/CDC25C/CDKN3/SGPP2/ACP6/PTPRH/SYNJ2",9
"GO:0140104","GO:0140104","molecular carrier activity","2/333","36/16969",0.156903387440572,0.710546486440006,0.649745376290872,"MB/XPO5",2
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","4/333","107/16969",0.159060288025596,0.710546486440006,0.649745376290872,"EZH2/CPSF6/NVL/YTHDF1",4
"GO:0017048","GO:0017048","Rho GTPase binding","5/333","146/16969",0.159988641233559,0.710546486440006,0.649745376290872,"ECT2/ARHGEF16/ARHGEF39/ARHGEF19/NGEF",5
"GO:0015036","GO:0015036","disulfide oxidoreductase activity","2/333","37/16969",0.163834920346785,0.710546486440006,0.649745376290872,"PDIA4/P4HB",2
"GO:0001221","GO:0001221","transcription cofactor binding","2/333","38/16969",0.17081972882533,0.710546486440006,0.649745376290872,"TFAM/HDGF",2
"GO:0009982","GO:0009982","pseudouridine synthase activity","1/333","10/16969",0.179830607341946,0.710546486440006,0.649745376290872,"DKC1",1
"GO:0015114","GO:0015114","phosphate ion transmembrane transporter activity","1/333","10/16969",0.179830607341946,0.710546486440006,0.649745376290872,"XPR1",1
"GO:0016595","GO:0016595","glutamate binding","1/333","10/16969",0.179830607341946,0.710546486440006,0.649745376290872,"GAD1",1
"GO:0046974","GO:0046974","histone methyltransferase activity (H3-K9 specific)","1/333","10/16969",0.179830607341946,0.710546486440006,0.649745376290872,"SETDB1",1
"GO:0097001","GO:0097001","ceramide binding","1/333","10/16969",0.179830607341946,0.710546486440006,0.649745376290872,"LAPTM4B",1
"GO:0098505","GO:0098505","G-rich strand telomeric DNA binding","1/333","10/16969",0.179830607341946,0.710546486440006,0.649745376290872,"NABP2",1
"GO:0106019","GO:0106019","phosphatidylinositol-4,5-bisphosphate phosphatase activity","1/333","10/16969",0.179830607341946,0.710546486440006,0.649745376290872,"SYNJ2",1
"GO:0016758","GO:0016758","transferase activity, transferring hexosyl groups","6/333","194/16969",0.182685680074347,0.710546486440006,0.649745376290872,"FUT2/ALG8/GYG2/GCNT3/B4GALT3/UGGT1",6
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","6/333","196/16969",0.188578689714745,0.710546486440006,0.649745376290872,"ECT2/ARHGEF16/ARHGEF39/ARHGEF19/RALGPS2/NGEF",6
"GO:0005536","GO:0005536","glucose binding","1/333","11/16969",0.195935118678412,0.710546486440006,0.649745376290872,"HKDC1",1
"GO:0016840","GO:0016840","carbon-nitrogen lyase activity","1/333","11/16969",0.195935118678412,0.710546486440006,0.649745376290872,"GGCT",1
"GO:0017110","GO:0017110","nucleoside-diphosphatase activity","1/333","11/16969",0.195935118678412,0.710546486440006,0.649745376290872,"CANT1",1
"GO:0019855","GO:0019855","calcium channel inhibitor activity","1/333","11/16969",0.195935118678412,0.710546486440006,0.649745376290872,"STX1A",1
"GO:0032404","GO:0032404","mismatch repair complex binding","1/333","11/16969",0.195935118678412,0.710546486440006,0.649745376290872,"MCM8",1
"GO:0043047","GO:0043047","single-stranded telomeric DNA binding","1/333","11/16969",0.195935118678412,0.710546486440006,0.649745376290872,"NABP2",1
"GO:0043295","GO:0043295","glutathione binding","1/333","11/16969",0.195935118678412,0.710546486440006,0.649745376290872,"PTGES",1
"GO:0051787","GO:0051787","misfolded protein binding","1/333","11/16969",0.195935118678412,0.710546486440006,0.649745376290872,"F12",1
"GO:0004721","GO:0004721","phosphoprotein phosphatase activity","5/333","157/16969",0.196179311945787,0.710546486440006,0.649745376290872,"DLGAP5/PLPP2/CDC25C/CDKN3/PTPRH",5
"GO:0098631","GO:0098631","cell adhesion mediator activity","2/333","42/16969",0.199199355371549,0.710546486440006,0.649745376290872,"BAIAP2L1/ITGA11",2
"GO:0001222","GO:0001222","transcription corepressor binding","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"HDGF",1
"GO:0003964","GO:0003964","RNA-directed DNA polymerase activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"DKC1",1
"GO:0004861","GO:0004861","cyclin-dependent protein serine/threonine kinase inhibitor activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"HEXIM2",1
"GO:0005385","GO:0005385","zinc ion transmembrane transporter activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"SLC39A11",1
"GO:0008417","GO:0008417","fucosyltransferase activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"FUT2",1
"GO:0008649","GO:0008649","rRNA methyltransferase activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"BUD23",1
"GO:0015125","GO:0015125","bile acid transmembrane transporter activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"ABCC3",1
"GO:0015269","GO:0015269","calcium-activated potassium channel activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"KCNMB3",1
"GO:0015464","GO:0015464","acetylcholine receptor activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"CHRNA5",1
"GO:0030898","GO:0030898","actin-dependent ATPase activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"MYO7A",1
"GO:0032036","GO:0032036","myosin heavy chain binding","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"STX1A",1
"GO:0140102","GO:0140102","catalytic activity, acting on a rRNA","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"BUD23",1
"GO:1900750","GO:1900750","oligopeptide binding","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"PTGES",1
"GO:1990939","GO:1990939","ATP-dependent microtubule motor activity","1/333","12/16969",0.211724339428506,0.710546486440006,0.649745376290872,"KIF14",1
"GO:0016796","GO:0016796","exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","2/333","44/16969",0.21359317841405,0.710546486440006,0.649745376290872,"EXO1/FEN1",2
"GO:0030170","GO:0030170","pyridoxal phosphate binding","2/333","44/16969",0.21359317841405,0.710546486440006,0.649745376290872,"GPT2/GAD1",2
"GO:0051020","GO:0051020","GTPase binding","11/333","426/16969",0.217306238318642,0.710546486440006,0.649745376290872,"BIRC5/ECT2/IPO4/ARHGEF16/ARHGEF39/ARHGEF19/RALGPS2/ENO1/NGEF/XPO5/EPRS",11
"GO:0016763","GO:0016763","transferase activity, transferring pentosyl groups","2/333","45/16969",0.220827087717512,0.710546486440006,0.649745376290872,"PARP1/PPAT",2
"GO:0070279","GO:0070279","vitamin B6 binding","2/333","45/16969",0.220827087717512,0.710546486440006,0.649745376290872,"GPT2/GAD1",2
"GO:0051082","GO:0051082","unfolded protein binding","3/333","83/16969",0.222884326045756,0.710546486440006,0.649745376290872,"CHAF1B/CCT3/UGGT1",3
"GO:0005521","GO:0005521","lamin binding","1/333","13/16969",0.227204424052573,0.710546486440006,0.649745376290872,"NARF",1
"GO:0016894","GO:0016894","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters","1/333","13/16969",0.227204424052573,0.710546486440006,0.649745376290872,"XRCC3",1
"GO:0019104","GO:0019104","DNA N-glycosylase activity","1/333","13/16969",0.227204424052573,0.710546486440006,0.649745376290872,"SMUG1",1
"GO:0035613","GO:0035613","RNA stem-loop binding","1/333","13/16969",0.227204424052573,0.710546486440006,0.649745376290872,"EPRS",1
"GO:0042800","GO:0042800","histone methyltransferase activity (H3-K4 specific)","1/333","13/16969",0.227204424052573,0.710546486440006,0.649745376290872,"SETD1A",1
"GO:0051010","GO:0051010","microtubule plus-end binding","1/333","13/16969",0.227204424052573,0.710546486440006,0.649745376290872,"KIF2C",1
"GO:0098847","GO:0098847","sequence-specific single stranded DNA binding","1/333","13/16969",0.227204424052573,0.710546486440006,0.649745376290872,"NABP2",1
"GO:0000287","GO:0000287","magnesium ion binding","6/333","209/16969",0.228556528461008,0.710546486440006,0.649745376290872,"TOP2A/SRPK1/IDH2/MORC2/PLK1/ENO1",6
"GO:0016881","GO:0016881","acid-amino acid ligase activity","1/333","14/16969",0.242381407232008,0.733564921225348,0.670794135037344,"PAICS",1
"GO:0019841","GO:0019841","retinol binding","1/333","14/16969",0.242381407232008,0.733564921225348,0.670794135037344,"CRABP2",1
"GO:0031624","GO:0031624","ubiquitin conjugating enzyme binding","1/333","14/16969",0.242381407232008,0.733564921225348,0.670794135037344,"MARCH6",1
"GO:0035497","GO:0035497","cAMP response element binding","1/333","14/16969",0.242381407232008,0.733564921225348,0.670794135037344,"CREB3L4",1
"GO:0051287","GO:0051287","NAD binding","2/333","50/16969",0.257223299586554,0.740400114520546,0.677044444235072,"PARP1/IDH2",2
"GO:0003950","GO:0003950","NAD+ ADP-ribosyltransferase activity","1/333","15/16969",0.257261206193479,0.740400114520546,0.677044444235072,"PARP1",1
"GO:0070402","GO:0070402","NADPH binding","1/333","15/16969",0.257261206193479,0.740400114520546,0.677044444235072,"SRD5A1",1
"GO:0097472","GO:0097472","cyclin-dependent protein kinase activity","1/333","15/16969",0.257261206193479,0.740400114520546,0.677044444235072,"CCNA2",1
"GO:0098918","GO:0098918","structural constituent of synapse","1/333","15/16969",0.257261206193479,0.740400114520546,0.677044444235072,"SPTBN2",1
"GO:1990381","GO:1990381","ubiquitin-specific protease binding","1/333","15/16969",0.257261206193479,0.740400114520546,0.677044444235072,"MARCH6",1
"GO:1990404","GO:1990404","protein ADP-ribosylase activity","1/333","15/16969",0.257261206193479,0.740400114520546,0.677044444235072,"PARP1",1
"GO:0051087","GO:0051087","chaperone binding","3/333","91/16969",0.264825061345715,0.740400114520546,0.677044444235072,"BIRC5/HYOU1/STIP1",3
"GO:1901681","GO:1901681","sulfur compound binding","6/333","221/16969",0.267621847823439,0.740400114520546,0.677044444235072,"TMEM184A/MDK/PC/DHTKD1/HDGF/PTGES",6
"GO:0004725","GO:0004725","protein tyrosine phosphatase activity","3/333","92/16969",0.270140728312097,0.740400114520546,0.677044444235072,"CDC25C/CDKN3/PTPRH",3
"GO:0016918","GO:0016918","retinal binding","1/333","16/16969",0.271849622988192,0.740400114520546,0.677044444235072,"CRABP2",1
