"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005874","GO:0005874","microtubule","19/348","357/18678",4.42792845505393e-05,0.000904229600295225,0.00078991299863012,"AURKA/ASPM/TPX2/PRC1/NEK2/KIF4A/KIF11/KIF2C/KNTC1/HOOK1/KIF14/CCT3/PLK1/RUSC1/SRPRB/CENPE/HID1/RACGAP1/GTSE1",19
"GO:0005876","GO:0005876","spindle microtubule","7/348","53/18678",5.41465159679029e-05,0.00105044240977732,0.000917640954824461,"AURKA/PRC1/KIF4A/KIF11/KNTC1/PLK1/CENPE",7
"GO:0000792","GO:0000792","heterochromatin","8/348","75/18678",7.62802241016245e-05,0.00140936795006811,0.00123118958199113,"SALL4/HELLS/CENPA/MORC2/EME1/CBX8/SUZ12/NCAPD3",8
"GO:0032153","GO:0032153","cell division site","7/348","57/18678",8.71377617702767e-05,0.00145282097941833,0.00126914909216685,"KIF20A/ECT2/ANLN/CEP55/SPIRE2/PLK4/RACGAP1",7
"GO:0032155","GO:0032155","cell division site part","7/348","57/18678",8.71377617702767e-05,0.00145282097941833,0.00126914909216685,"KIF20A/ECT2/ANLN/CEP55/SPIRE2/PLK4/RACGAP1",7
"GO:0000784","GO:0000784","nuclear chromosome, telomeric region","10/348","121/18678",8.98652152217523e-05,0.00145282097941833,0.00126914909216685,"PARP1/MCM2/MCM4/MCM6/NABP2/FEN1/XRCC3/ORC1/DNA2/NAT10",10
"GO:0005814","GO:0005814","centriole","10/348","124/18678",0.000110338739701231,0.00171245724016311,0.00149596101826511,"TOP2A/CCNF/AURKA/STIL/CEP55/WDR62/POC1A/WDR34/PLK1/PLK4",10
"GO:0051233","GO:0051233","spindle midzone","5/348","27/18678",0.000125669698937096,0.0018753785841382,0.00163828514403825,"AURKB/KIF14/PLK1/CENPE/RACGAP1",5
"GO:0045120","GO:0045120","pronucleus","4/348","15/18678",0.000137415982170969,0.00197471855860504,0.0017250661309572,"CENPF/AURKA/EZH2/CCNA2",4
"GO:0005759","GO:0005759","mitochondrial matrix","20/348","448/18678",0.000302705135964726,0.00419462831265406,0.00366432533009932,"PYCR1/GPT2/IDH2/DAP3/CCNB1/TFB2M/MRPL12/COASY/PC/UQCC2/ATAD3A/TFAM/TRAP1/ACP6/NDUFS8/NUDT1/DHTKD1/DNA2/NAXE/FLAD1",20
"GO:0032154","GO:0032154","cleavage furrow","6/348","55/18678",0.000538254462989695,0.00720147350482764,0.00629103219900842,"KIF20A/ECT2/CEP55/SPIRE2/PLK4/RACGAP1",6
"GO:0045171","GO:0045171","intercellular bridge","6/348","59/18678",0.000786067386445908,0.0101664715313671,0.0088811824012485,"CDCA8/TPX2/KIF20A/KIF4A/CEP55/SNRNP25",6
"GO:0009295","GO:0009295","nucleoid","5/348","42/18678",0.00105365914606991,0.0127756171460977,0.0111604685866616,"TFB2M/UQCC2/ATAD3A/TFAM/DNA2",5
"GO:0042645","GO:0042645","mitochondrial nucleoid","5/348","42/18678",0.00105365914606991,0.0127756171460977,0.0111604685866616,"TFB2M/UQCC2/ATAD3A/TFAM/DNA2",5
"GO:0005847","GO:0005847","mRNA cleavage and polyadenylation specificity factor complex","3/348","12/18678",0.00124494291447654,0.014637510630815,0.0127869734756442,"CSTF2/CPSF6/CPSF3",3
"GO:0044450","GO:0044450","microtubule organizing center part","10/348","170/18678",0.00135354232327958,0.0154463065127199,0.0134935178977098,"TOP2A/CCNF/AURKA/STIL/CEP55/WDR62/POC1A/WDR34/PLK1/PLK4",10
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","4/348","29/18678",0.00194655821581336,0.0210108925630945,0.0183546050062844,"CCNB1/CCNA2/CCNE2/CCNE1",4
"GO:0005849","GO:0005849","mRNA cleavage factor complex","3/348","14/18678",0.00200361604338788,0.0210108925630945,0.0183546050062844,"CSTF2/CPSF6/CPSF3",3
"GO:0010369","GO:0010369","chromocenter","3/348","14/18678",0.00200361604338788,0.0210108925630945,0.0183546050062844,"CDCA8/AURKB/OIP5",3
"GO:0000790","GO:0000790","nuclear chromatin","14/348","309/18678",0.0020704544920547,0.021140430076769,0.0184677658294076,"TIMELESS/CDCA5/EZH2/CHAF1B/IPO4/ASF1B/MTA3/CPSF6/CENPA/EME1/CBX8/SETD1A/SUZ12/NCAPD3",14
"GO:0005720","GO:0005720","nuclear heterochromatin","4/348","33/18678",0.00316334962173853,0.0314712731598603,0.0274925392226669,"CENPA/EME1/SUZ12/NCAPD3",4
"GO:0005697","GO:0005697","telomerase holoenzyme complex","3/348","19/18678",0.0049785387781199,0.048291826147763,0.0421865654356476,"DKC1/NVL/NAT10",3
"GO:0000152","GO:0000152","nuclear ubiquitin ligase complex","4/348","38/18678",0.00530557432978129,0.0502088497550034,0.0438612306595526,"CDC20/UBE2C/BARD1/CBX8",4
"GO:0005721","GO:0005721","pericentric heterochromatin","3/348","20/18678",0.00577714287855113,0.053369796116139,0.0466225565637459,"HELLS/CENPA/NCAPD3",3
"GO:0034708","GO:0034708","methyltransferase complex","6/348","88/18678",0.00603520878551097,0.054457232762285,0.0475725147841991,"EZH2/DPY30/SNRPG/SETD1A/SUZ12/PELP1",6
"GO:0035097","GO:0035097","histone methyltransferase complex","5/348","65/18678",0.0072289494766444,0.0637461908395006,0.0556871227626674,"EZH2/DPY30/SETD1A/SUZ12/PELP1",5
"GO:0034399","GO:0034399","nuclear periphery","7/348","126/18678",0.00937239130251782,0.0808108405639314,0.0705943859511284,"CENPF/SRPK1/KIF4A/KRT8/NARF/BLM/MORC2",7
"GO:0072687","GO:0072687","meiotic spindle","2/348","10/18678",0.0141103494488417,0.118998494721186,0.103954192350032,"AURKA/ASPM",2
"GO:0016363","GO:0016363","nuclear matrix","6/348","106/18678",0.0144147661131333,0.118998494721186,0.103954192350032,"CENPF/SRPK1/KIF4A/KRT8/BLM/MORC2",6
"GO:0090543","GO:0090543","Flemming body","3/348","28/18678",0.014879972443777,0.120279777253864,0.105073489624917,"KIF14/CEP55/RACGAP1",3
"GO:0048188","GO:0048188","Set1C/COMPASS complex","2/348","11/18678",0.0170355983118172,0.12960415970559,0.113219043475854,"DPY30/SETD1A",2
"GO:1990023","GO:1990023","mitotic spindle midzone","2/348","11/18678",0.0170355983118172,0.12960415970559,0.113219043475854,"AURKB/CENPE",2
"GO:1990907","GO:1990907","beta-catenin-TCF complex","2/348","11/18678",0.0170355983118172,0.12960415970559,0.113219043475854,"PYGO2/BCL9",2
"GO:0005657","GO:0005657","replication fork","4/348","54/18678",0.0180361189029854,0.134577194891506,0.117563366128771,"BLM/TONSL/XRCC3/DONSON",4
"GO:0099738","GO:0099738","cell cortex region","3/348","31/18678",0.0195998904778497,0.143485990668032,0.125345873562415,"SAPCD2/ANLN/ENO1",3
"GO:0031616","GO:0031616","spindle pole centrosome","2/348","13/18678",0.0235751011440603,0.16631162261628,0.145285790782535,"AURKA/DLGAP5",2
"GO:0042575","GO:0042575","DNA polymerase complex","2/348","13/18678",0.0235751011440603,0.16631162261628,0.145285790782535,"POLE2/DNA2",2
"GO:0000795","GO:0000795","synaptonemal complex","3/348","34/18678",0.0250515692421174,0.170526471332308,0.1489677801655,"P3H4/BLM/PLK1",3
"GO:0099086","GO:0099086","synaptonemal structure","3/348","34/18678",0.0250515692421174,0.170526471332308,0.1489677801655,"P3H4/BLM/PLK1",3
"GO:0005881","GO:0005881","cytoplasmic microtubule","4/348","62/18678",0.0283668642110842,0.189246113235196,0.165320804291191,"KIF2C/SRPRB/HID1/GTSE1",4
"GO:0005875","GO:0005875","microtubule associated complex","5/348","92/18678",0.0287771151568983,0.189246113235196,0.165320804291191,"CDCA8/BIRC5/AURKB/KIF15/WDR34",5
"GO:0090734","GO:0090734","site of DNA damage","4/348","65/18678",0.0329843050615189,0.209801809243759,0.183277760652443,"PARP1/TIMELESS/AUNIP/UBQLN4",4
"GO:1902554","GO:1902554","serine/threonine protein kinase complex","4/348","65/18678",0.0329843050615189,0.209801809243759,0.183277760652443,"CCNB1/CCNA2/CCNE2/CCNE1",4
"GO:0035098","GO:0035098","ESC/E(Z) complex","2/348","16/18678",0.0349663532026498,0.218821694235938,0.191157312924503,"EZH2/SUZ12",2
"GO:0031519","GO:0031519","PcG protein complex","3/348","42/18678",0.043142302009989,0.263792092413821,0.230442359623577,"EZH2/CBX8/SUZ12",3
"GO:0030663","GO:0030663","COPI-coated vesicle membrane","2/348","18/18678",0.0435120977177436,0.263792092413821,0.230442359623577,"KDELR3/KDELR2",2
"GO:0016327","GO:0016327","apicolateral plasma membrane","2/348","19/18678",0.0480454575929935,0.282449053728507,0.246740627511067,"KRT8/CLDN3",2
"GO:0101031","GO:0101031","chaperone complex","2/348","19/18678",0.0480454575929935,0.282449053728507,0.246740627511067,"CCT3/STIP1",2
"GO:0030894","GO:0030894","replisome","2/348","20/18678",0.0527419370057093,0.303986828621802,0.265555504113457,"TONSL/DONSON",2
"GO:0061695","GO:0061695","transferase complex, transferring phosphorus-containing groups","7/348","181/18678",0.0532760421295941,0.303986828621802,0.265555504113457,"CCNB1/CCNA2/POLR2H/POLE2/CCNE2/DNA2/CCNE1",7
"GO:1902911","GO:1902911","protein kinase complex","4/348","77/18678",0.0556007736598631,0.312653625797491,0.273126607451959,"CCNB1/CCNA2/CCNE2/CCNE1",4
"GO:0005680","GO:0005680","anaphase-promoting complex","2/348","21/18678",0.0575939226647832,0.319234885627656,0.278875836061056,"CDC20/UBE2C",2
"GO:0032993","GO:0032993","protein-DNA complex","7/348","187/18678",0.0613098267721745,0.33504525052963,0.292687386518016,"PARP1/HIST1H2BD/POLR2H/TONSL/CENPA/DONSON/SUZ12",7
"GO:0044452","GO:0044452","nucleolar part","6/348","151/18678",0.0636914098149601,0.343225930669507,0.29983382983066,"ORC6/BOP1/DKC1/COIL/NOL11/SURF6",6
"GO:0005938","GO:0005938","cell cortex","8/348","229/18678",0.0655755568081225,0.348538575911665,0.304474827573402,"SAPCD2/MELK/ANLN/SPIRE2/MYO7A/ENO1/SPTBN2/GAD1",8
"GO:0005923","GO:0005923","bicellular tight junction","5/348","118/18678",0.069887142773851,0.36643528913857,0.320108961211665,"SAPCD2/EPCAM/ECT2/MARVELD3/CLDN3",5
"GO:0005689","GO:0005689","U12-type spliceosomal complex","2/348","24/18678",0.0730101344333602,0.372735949475576,0.325613064924404,"SNRNP25/SNRPG",2
"GO:0044322","GO:0044322","endoplasmic reticulum quality control compartment","2/348","24/18678",0.0730101344333602,0.372735949475576,0.325613064924404,"UGGT1/MARCH6",2
"GO:0030137","GO:0030137","COPI-coated vesicle","2/348","25/18678",0.0784124396806973,0.395117228520916,0.34516480624996,"KDELR3/KDELR2",2
"GO:0070160","GO:0070160","tight junction","5/348","123/18678",0.0802521211526195,0.399202859066876,0.348733913780614,"SAPCD2/EPCAM/ECT2/MARVELD3/CLDN3",5
"GO:0005795","GO:0005795","Golgi stack","5/348","124/18678",0.0824185796441528,0.402061199770465,0.351230890738171,"FUT2/CANT1/B4GALT3/COG2/HID1",5
"GO:0097431","GO:0097431","mitotic spindle pole","2/348","26/18678",0.0839354566531126,0.402061199770465,0.351230890738171,"AURKA/ASPM",2
"GO:1990752","GO:1990752","microtubule end","2/348","26/18678",0.0839354566531126,0.402061199770465,0.351230890738171,"ASPM/KIF2C",2
"GO:0005635","GO:0005635","nuclear envelope","12/348","420/18678",0.0952761695530454,0.447929997609808,0.391300757543023,"CENPF/PARP1/NUP210/STX1A/CHMP4B/NUP155/NUDT1/DNASE1/PTGES/SLC29A2/MAD2L1/CREB3L4",12
"GO:0031985","GO:0031985","Golgi cisterna","4/348","93/18678",0.0958200768082837,0.447929997609808,0.391300757543023,"FUT2/CANT1/B4GALT3/HID1",4
"GO:0043296","GO:0043296","apical junction complex","5/348","134/18678",0.105749896487145,0.488463807583478,0.426710108632338,"SAPCD2/EPCAM/ECT2/MARVELD3/CLDN3",5
"GO:0000803","GO:0000803","sex chromosome","2/348","30/18678",0.107110655547787,0.488928639441662,0.427116174444425,"PLK4/SUZ12",2
"GO:0032592","GO:0032592","integral component of mitochondrial membrane","3/348","63/18678",0.112904436803308,0.509382807903297,0.444984438808632,"L2HGDH/SFXN1/ABCB6",3
"GO:0098573","GO:0098573","intrinsic component of mitochondrial membrane","3/348","64/18678",0.116912883198432,0.521404582540135,0.455486368903753,"L2HGDH/SFXN1/ABCB6",3
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","9/348","306/18678",0.119722940857925,0.527869330146307,0.461133815266172,"GOLM1/WNT3/SPP1/VGF/PDIA4/P4HB/FOXRED2/UGGT1/HYOU1",9
"GO:0044798","GO:0044798","nuclear transcription factor complex","5/348","140/18678",0.121147176669964,0.528147242111754,0.461376592403648,"E2F2/PYGO2/BCL9/E2F3/GTF3C2",5
"GO:0000151","GO:0000151","ubiquitin ligase complex","7/348","224/18678",0.126312847083258,0.544548718536713,0.475704523518236,"CCNF/CDC20/UBE2C/BARD1/CBX8/MARCH6/DCAF12",7
"GO:0005743","GO:0005743","mitochondrial inner membrane","12/348","445/18678",0.129396264728877,0.551711546316531,0.481961795751283,"ALDH18A1/L2HGDH/DAP3/MRPL12/SFXN1/UQCC2/ATAD3A/TRAP1/MTFP1/SLC25A10/NDUFS8/SLC25A39",12
"GO:0099568","GO:0099568","cytoplasmic region","11/348","402/18678",0.132513741934521,0.558862302941242,0.488208522916657,"SAPCD2/CENPF/KIF4A/MELK/ANLN/SPIRE2/MYO7A/WDR34/ENO1/SPTBN2/GAD1",11
"GO:0018995","GO:0018995","host","3/348","69/18678",0.137717169708166,0.56844959411456,0.496583747435942,"TOP2A/NUP210/NUP155",3
"GO:0043657","GO:0043657","host cell","3/348","69/18678",0.137717169708166,0.56844959411456,0.496583747435942,"TOP2A/NUP210/NUP155",3
"GO:0032580","GO:0032580","Golgi cisterna membrane","3/348","72/18678",0.150760335049157,0.603894232084656,0.527547321571512,"FUT2/CANT1/B4GALT3",3
"GO:0031304","GO:0031304","intrinsic component of mitochondrial inner membrane","2/348","37/18678",0.150973558021164,0.603894232084656,0.527547321571512,"L2HGDH/SFXN1",2
"GO:0031305","GO:0031305","integral component of mitochondrial inner membrane","2/348","37/18678",0.150973558021164,0.603894232084656,0.527547321571512,"L2HGDH/SFXN1",2
"GO:0044815","GO:0044815","DNA packaging complex","4/348","113/18678",0.160237619272929,0.621104809785986,0.542582063893347,"NCAPG/HIST1H2BD/CENPA/NCAPD3",4
"GO:0015030","GO:0015030","Cajal body","3/348","75/18678",0.164178941983345,0.621104809785986,0.542582063893347,"DKC1/COIL/OIP5",3
"GO:0044215","GO:0044215","other organism","3/348","75/18678",0.164178941983345,0.621104809785986,0.542582063893347,"TOP2A/NUP210/NUP155",3
"GO:0044216","GO:0044216","other organism cell","3/348","75/18678",0.164178941983345,0.621104809785986,0.542582063893347,"TOP2A/NUP210/NUP155",3
"GO:0044217","GO:0044217","other organism part","3/348","75/18678",0.164178941983345,0.621104809785986,0.542582063893347,"TOP2A/NUP210/NUP155",3
"GO:0000176","GO:0000176","nuclear exosome (RNase complex)","1/348","10/18678",0.171483680209726,0.621104809785986,0.542582063893347,"NVL",1
"GO:0000815","GO:0000815","ESCRT III complex","1/348","10/18678",0.171483680209726,0.621104809785986,0.542582063893347,"CHMP4B",1
"GO:0016461","GO:0016461","unconventional myosin complex","1/348","10/18678",0.171483680209726,0.621104809785986,0.542582063893347,"MYO7A",1
"GO:0072588","GO:0072588","box H/ACA RNP complex","1/348","10/18678",0.171483680209726,0.621104809785986,0.542582063893347,"DKC1",1
"GO:0098563","GO:0098563","intrinsic component of synaptic vesicle membrane","2/348","41/18678",0.177383618034479,0.621104809785986,0.542582063893347,"STX1A/RAB26",2
"GO:0005652","GO:0005652","nuclear lamina","1/348","11/18678",0.186928488399516,0.621104809785986,0.542582063893347,"NARF",1
"GO:0005687","GO:0005687","U4 snRNP","1/348","11/18678",0.186928488399516,0.621104809785986,0.542582063893347,"SNRPG",1
"GO:0005892","GO:0005892","acetylcholine-gated channel complex","1/348","11/18678",0.186928488399516,0.621104809785986,0.542582063893347,"CHRNA5",1
"GO:0017101","GO:0017101","aminoacyl-tRNA synthetase multienzyme complex","1/348","11/18678",0.186928488399516,0.621104809785986,0.542582063893347,"EPRS",1
"GO:0017119","GO:0017119","Golgi transport complex","1/348","11/18678",0.186928488399516,0.621104809785986,0.542582063893347,"COG2",1
"GO:0032585","GO:0032585","multivesicular body membrane","1/348","11/18678",0.186928488399516,0.621104809785986,0.542582063893347,"LAPTM4B",1
"GO:0044615","GO:0044615","nuclear pore nuclear basket","1/348","11/18678",0.186928488399516,0.621104809785986,0.542582063893347,"MAD2L1",1
"GO:0001917","GO:0001917","photoreceptor inner segment","2/348","43/18678",0.190843801440739,0.621104809785986,0.542582063893347,"REEP6/MYO7A",2
"GO:0031970","GO:0031970","organelle envelope lumen","3/348","82/18678",0.196744638125554,0.621104809785986,0.542582063893347,"UQCC2/TRAP1/PTGES",3
"GO:0031461","GO:0031461","cullin-RING ubiquitin ligase complex","4/348","124/18678",0.200931626472517,0.621104809785986,0.542582063893347,"CCNF/CDC20/UBE2C/DCAF12",4
"GO:0090575","GO:0090575","RNA polymerase II transcription factor complex","4/348","124/18678",0.200931626472517,0.621104809785986,0.542582063893347,"E2F2/PYGO2/BCL9/E2F3",4
"GO:0005871","GO:0005871","kinesin complex","1/348","12/18678",0.202086193763901,0.621104809785986,0.542582063893347,"KIF15",1
"GO:0008278","GO:0008278","cohesin complex","1/348","12/18678",0.202086193763901,0.621104809785986,0.542582063893347,"CDCA5",1
"GO:0034709","GO:0034709","methylosome","1/348","12/18678",0.202086193763901,0.621104809785986,0.542582063893347,"SNRPG",1
"GO:0035102","GO:0035102","PRC1 complex","1/348","12/18678",0.202086193763901,0.621104809785986,0.542582063893347,"CBX8",1
"GO:0038201","GO:0038201","TOR complex","1/348","12/18678",0.202086193763901,0.621104809785986,0.542582063893347,"TTI1",1
"GO:0060198","GO:0060198","clathrin-sculpted vesicle","1/348","12/18678",0.202086193763901,0.621104809785986,0.542582063893347,"GAD1",1
"GO:0098993","GO:0098993","anchored component of synaptic vesicle membrane","1/348","12/18678",0.202086193763901,0.621104809785986,0.542582063893347,"RAB26",1
"GO:1990909","GO:1990909","Wnt signalosome","1/348","12/18678",0.202086193763901,0.621104809785986,0.542582063893347,"WNT3",1
"GO:0019866","GO:0019866","organelle inner membrane","12/348","489/18678",0.203558676957377,0.621104809785986,0.542582063893347,"ALDH18A1/L2HGDH/DAP3/MRPL12/SFXN1/UQCC2/ATAD3A/TRAP1/MTFP1/SLC25A10/NDUFS8/SLC25A39",12
"GO:0005741","GO:0005741","mitochondrial outer membrane","5/348","168/18678",0.204900555805686,0.621104809785986,0.542582063893347,"CYP24A1/COASY/BRI3BP/ABCB6/MTX1",5
"GO:0044448","GO:0044448","cell cortex part","4/348","128/18678",0.216438683363362,0.623929556893351,0.545049694301842,"SAPCD2/ANLN/ENO1/SPTBN2",4
"GO:0001741","GO:0001741","XY body","1/348","13/18678",0.216962118148887,0.623929556893351,0.545049694301842,"PLK4",1
"GO:0005665","GO:0005665","RNA polymerase II, core complex","1/348","13/18678",0.216962118148887,0.623929556893351,0.545049694301842,"POLR2H",1
"GO:0030897","GO:0030897","HOPS complex","1/348","13/18678",0.216962118148887,0.623929556893351,0.545049694301842,"HOOK1",1
"GO:0043240","GO:0043240","Fanconi anaemia nuclear complex","1/348","13/18678",0.216962118148887,0.623929556893351,0.545049694301842,"CENPX",1
"GO:0030672","GO:0030672","synaptic vesicle membrane","3/348","87/18678",0.220884892071904,0.623929556893351,0.545049694301842,"STX1A/RAB26/ICA1",3
"GO:0099501","GO:0099501","exocytic vesicle membrane","3/348","87/18678",0.220884892071904,0.623929556893351,0.545049694301842,"STX1A/RAB26/ICA1",3
"GO:0000800","GO:0000800","lateral element","1/348","14/18678",0.231561485032584,0.623929556893351,0.545049694301842,"BLM",1
"GO:0016581","GO:0016581","NuRD complex","1/348","14/18678",0.231561485032584,0.623929556893351,0.545049694301842,"MTA3",1
"GO:0030684","GO:0030684","preribosome","1/348","14/18678",0.231561485032584,0.623929556893351,0.545049694301842,"BOP1",1
"GO:0043186","GO:0043186","P granule","1/348","14/18678",0.231561485032584,0.623929556893351,0.545049694301842,"TDRKH",1
"GO:0045495","GO:0045495","pole plasm","1/348","14/18678",0.231561485032584,0.623929556893351,0.545049694301842,"TDRKH",1
"GO:0060293","GO:0060293","germ plasm","1/348","14/18678",0.231561485032584,0.623929556893351,0.545049694301842,"TDRKH",1
"GO:0090545","GO:0090545","CHD-type complex","1/348","14/18678",0.231561485032584,0.623929556893351,0.545049694301842,"MTA3",1
"GO:0098691","GO:0098691","dopaminergic synapse","1/348","14/18678",0.231561485032584,0.623929556893351,0.545049694301842,"CHRNA5",1
"GO:0098799","GO:0098799","outer mitochondrial membrane protein complex","1/348","14/18678",0.231561485032584,0.623929556893351,0.545049694301842,"MTX1",1
"GO:0005667","GO:0005667","transcription factor complex","7/348","270/18678",0.23986980137042,0.6418585029774,0.560711985780583,"E2F2/PARP1/HES6/PYGO2/BCL9/E2F3/GTF3C2",7
"GO:0035861","GO:0035861","site of double-strand break","2/348","51/18678",0.245712535228441,0.649014254960781,0.566963076769863,"PARP1/TIMELESS",2
"GO:0005662","GO:0005662","DNA replication factor A complex","1/348","15/18678",0.245889421338234,0.649014254960781,0.566963076769863,"TONSL",1
